,p,v
0,18.72,10.21515
1,25.71,10.00435
2,26.84,9.9113
3,31.18,9.77425
4,34.35,9.69765
5,36.78,9.64475
6,40.1,9.59425
7,45.09,9.4524
8,45.09,9.3683
9,46.34,9.44145
10,48.18,9.3724
11,49.01,9.33195
12,50.54,9.316
13,51.28,9.28245
14,55.9,9.17225
15,56.65,9.15465
16,58.63,9.106
17,61.75,9.05555
18,67.44,8.948
19,68.82,8.9178
20,69.42,8.9002
21,72.15,8.823
22,77.38,8.76715
23,77.71,8.7401
24,85.42,8.65085
25,87.47,8.6104
26,87.41,8.60885
27,90.62,8.572
28,21.93,10.0857
29,28.6,9.83085
30,37.76,9.5876
31,43.86,9.43955
32,43.3,9.53375
33,43.1,9.5128
34,52.4,9.3139
35,52.34,9.3192
36,57.66,9.1567
37,58.05,9.1484
38,68.37,8.93795
39,69.26,8.94445
40,73.07,8.87215
41,73.46,8.87175
42,80.37,8.72455
43,80.65,8.73205
44,85.68,8.64765
45,84.96,8.6732
46,93.7,8.5096
47,94.13,8.4934
48,92.8,8.53795
49,52.23,9.22735
50,56.86,9.1139
51,57.9,9.1374
52,69.46,8.88175
53,75.52,8.7924
54,86.16,8.61225
55,97.55,8.4153
56,151.3,7.79935
57,156.0,7.74045
58,159.7,7.73595
59,164.6,7.67765
60,156.6,7.76205
61,170.4,7.6315
62,167.1,7.6469
63,181.3,7.51855
64,187.5,7.48005
65,176.6,7.54725
66,175.5,7.58685
67,170.6,7.61735
68,165.8,7.6626
69,161.6,7.67975
70,182.9,7.5002
71,189.6,7.4335
72,198.7,7.37705
73,204.6,7.3429
