,p,v
0,34.8,9.64939236392225
1,35.6,9.651052902962677
2,56.1,9.089790707298297
3,80.0,8.761003977293717
4,101.6,8.435538325369993
5,112.4,8.186457469305918
6,125.4,8.141622915214384
7,132.1,7.985532245414232
8,141.2,7.827781036573652
9,142.2,7.753056779754428
10,156.7,7.660066593490509
11,170.8,7.430912205911558
12,197.3,7.4026830422242975
13,208.7,7.419288432628569
14,210.1,7.334600941566784
15,212.1,7.281463692273114
16,227.2,7.183491888887911
17,235.7,7.1751891936857755
18,244.8,7.156923264241076
19,247.3,7.063933077977156
20,256.2,7.118730866311252
21,264.0,7.122051944392106
22,270.1,7.045667148532457
23,270.4,6.995850977319642
24,277.8,6.924447798581273
25,292.8,6.882934322570594
26,293.5,6.869650010247177
27,294.7,6.881273783530168
28,304.1,6.8065495267109455
29,293.7,6.88625540065145
30,300.6,6.869650010247177
