,p,d,p_dev,d_dev
0,57.8,10.18,0.1,0.0
1,66.2,10.36,0.2,0.01
2,75.3,10.54,0.3,0.01
3,84.7,10.72,0.4,0.01
4,94.6,10.9,0.5,0.01
5,104.7,11.07,0.6,0.01
6,115.2,11.25,0.7,0.01
7,126.1,11.42,0.8,0.02
8,137.3,11.6,0.9,0.02
9,149.1,11.77,1.0,0.02
10,161.3,11.94,1.2,0.02
11,173.9,12.11,1.3,0.02
12,187.0,12.28,1.5,0.03
13,201.0,12.45,1.6,0.03
14,215.0,12.62,1.8,0.03
15,229.0,12.79,1.9,0.04
16,244.0,12.95,2.1,0.04
17,259.0,13.12,2.3,0.04
18,275.0,13.29,2.5,0.04
19,291.0,13.45,2.7,0.05
20,307.0,13.62,2.8,0.05
21,324.0,13.78,3.0,0.05
22,342.0,13.95,3.3,0.06
23,360.0,14.11,3.5,0.06
24,378.0,14.28,3.7,0.06
25,397.0,14.44,3.9,0.07
26,416.0,14.61,4.2,0.07
27,435.0,14.77,4.4,0.07
28,456.0,14.94,4.7,0.08
29,476.0,15.1,4.9,0.08
30,497.0,15.27,5.2,0.08
31,519.0,15.43,5.5,0.09
32,541.0,15.6,5.8,0.09
33,563.0,15.76,6.1,0.1
34,586.0,15.92,6.4,0.1
35,610.0,16.08,6.7,0.1
36,634.0,16.25,7.0,0.11
37,658.0,16.41,7.4,0.11
38,684.0,16.57,7.7,0.12
39,709.0,16.74,8.1,0.12
40,735.0,16.9,8.5,0.13
41,762.0,17.06,8.9,0.13
42,789.0,17.22,9.4,0.14
43,817.0,17.38,9.9,0.14
44,846.0,17.54,10.4,0.15
45,875.0,17.7,11.0,0.15
46,904.0,17.87,11.6,0.16
47,935.0,18.03,12.2,0.16
48,965.0,18.19,12.9,0.17
49,996.0,18.35,13.5,0.18
50,1028.0,18.51,14.0,0.18
51,1061.0,18.67,15.0,0.19
52,1094.0,18.83,16.0,0.2
53,1164.0,19.14,19.0,0.22
54,1199.0,19.29,20.0,0.22
55,1236.0,19.45,21.0,0.23
56,1273.0,19.6,22.0,0.24
57,1312.0,19.76,23.0,0.25
58,1350.0,19.91,25.0,0.26
59,1374.0,20.0,26.0,0.27
